UniqueID,ParcelID,LandUse,SaleDate,SalePrice,LegalReference,SoldAsVacant,TaxDistrict,Owner_Address,Owner_City,Property_Address,Property_City,LandUse_Grp,SalePrice_Grp,SaleYear
12403,025 04 0 038.00,SINGLE FAMILY,02/14/2014,"135,000",20140218-0013699,No,CITY OF GOODLETTSVILLE,220  W CEDAR ST,GOODLETTSVILLE,220  W CEDAR ST,GOODLETTSVILLE,HOME,100K-199K,2014
12404,032 13 0 003.00,SINGLE FAMILY,02/26/2014,"119,000",20140304-0018191,No,GENERAL SERVICES DISTRICT,4220  BRICK CHURCH PIKE,WHITES CREEK,4220  BRICK CHURCH PIKE,WHITES CREEK,HOME,100K-199K,2014
12410,026 03 0 008.00,SINGLE FAMILY,02/28/2014,"154,000",20140306-0018734,No,CITY OF GOODLETTSVILLE,327  WITHAM CT,GOODLETTSVILLE,327  WITHAM CT,GOODLETTSVILLE,HOME,100K-199K,2014
12411,026 03 0 016.00,SINGLE FAMILY,02/18/2014,"194,900",20140225-0015908,No,CITY OF GOODLETTSVILLE,311  CHISWICK CT,GOODLETTSVILLE,311  CHISWICK CT,GOODLETTSVILLE,HOME,100K-199K,2014
12412,026 07 0 165.00,SINGLE FAMILY,02/07/2014,"152,500",20140221-0014905,No,CITY OF GOODLETTSVILLE,102  BUCKINGHAM CT,GOODLETTSVILLE,102  BUCKINGHAM CT,GOODLETTSVILLE,HOME,100K-199K,2014
13354,012 02 0 019.00,SINGLE FAMILY,03/18/2014,"359,900",20140321-0023358,No,GENERAL SERVICES DISTRICT,1412  SPRINGFIELD HWY,GOODLETTSVILLE,1412  SPRINGFIELD HWY,GOODLETTSVILLE,HOME,300K-399K,2014
13355,018 12 0A 019.00,SINGLE FAMILY,03/31/2014,"110,000",20140402-0027284,No,GENERAL SERVICES DISTRICT,105  MAVELLA CT,GOODLETTSVILLE,105  MAVELLA CT,GOODLETTSVILLE,HOME,100K-199K,2014
13356,025 12 0 042.00,DUPLEX,03/07/2014,"155,000",20140311-0020141,No,CITY OF GOODLETTSVILLE,702  CERRO VISTA DR,GOODLETTSVILLE,702  CERRO VISTA DR,GOODLETTSVILLE,HOME,100K-199K,2014
13357,025 15 0 024.00,SINGLE FAMILY,03/14/2014,"165,000",20140321-0023637,No,CITY OF GOODLETTSVILLE,313  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,313  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,HOME,100K-199K,2014
13358,025 16 0 016.00,DUPLEX,03/04/2014,"150,000",20140310-0019827,No,CITY OF GOODLETTSVILLE,916  DICKERSON PIKE,GOODLETTSVILLE,916  DICKERSON PIKE,GOODLETTSVILLE,HOME,100K-199K,2014
13359,033 03 0B 085.00,SINGLE FAMILY,03/13/2014,"150,000",20140324-0023846,No,GENERAL SERVICES DISTRICT,193  IVY HILL LN,GOODLETTSVILLE,193  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2014
13378,026 02 0 005.00,SINGLE FAMILY,03/14/2014,"177,900",20140321-0023642,No,CITY OF GOODLETTSVILLE,313  WITHAM CT,GOODLETTSVILLE,313  WITHAM CT,GOODLETTSVILLE,HOME,100K-199K,2014
13379,026 12 0 016.00,SINGLE FAMILY,03/26/2014,"125,000",20140331-0026323,No,GENERAL SERVICES DISTRICT,2403  MANSKER DR,MADISON,2403  MANSKER DR,MADISON,HOME,100K-199K,2014
14425,018 03 0 026.00,DUPLEX,04/04/2014,"170,000",20140424-0034560,No,CITY OF GOODLETTSVILLE,408  ISAAC DR,GOODLETTSVILLE,408  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2014
14426,018 11 0 015.00,SINGLE FAMILY,04/11/2014,"158,000",20140417-0032125,No,CITY OF GOODLETTSVILLE,214  ENGEL AVE,GOODLETTSVILLE,214  ENGEL AVE,GOODLETTSVILLE,HOME,100K-199K,2014
14427,018 12 0A 022.00,SINGLE FAMILY,04/29/2014,"159,900",20140502-0037305,No,GENERAL SERVICES DISTRICT,111  MAVELLA CT,GOODLETTSVILLE,111  MAVELLA CT,GOODLETTSVILLE,HOME,100K-199K,2014
14428,025 15 0 027.00,SINGLE FAMILY,04/15/2014,"120,000",20140416-0031705,No,CITY OF GOODLETTSVILLE,307  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,307  HIGHLAND HEIGHTS DR,GOODLETTSVILLE,HOME,100K-199K,2014
14429,025 16 0 039.00,VACANT RESIDENTIAL LAND,04/10/2014,"80,000",20140415-0031418,No,CITY OF GOODLETTSVILLE,0  MOSS TRL,GOODLETTSVILLE,0  MOSS TRL,GOODLETTSVILLE,LAND,Below 100K,2014
14430,025 16 0 040.00,SINGLE FAMILY,04/10/2014,"80,000",20140415-0031418,No,CITY OF GOODLETTSVILLE,203  MOSS TRL,GOODLETTSVILLE,203  MOSS TRL,GOODLETTSVILLE,HOME,Below 100K,2014
14431,026 05 0 042.00,SINGLE FAMILY,04/04/2014,"105,000",20140404-0028200,No,CITY OF GOODLETTSVILLE,115  ROSCOE ST,GOODLETTSVILLE,115  ROSCOE ST,GOODLETTSVILLE,HOME,100K-199K,2014
14432,026 05 0 050.00,SINGLE FAMILY,04/25/2014,"184,000",20140430-0036135,No,CITY OF GOODLETTSVILLE,118  HOLLYWOOD ST,GOODLETTSVILLE,118  HOLLYWOOD ST,GOODLETTSVILLE,HOME,100K-199K,2014
14433,033 03 0B 042.00,SINGLE FAMILY,04/29/2014,"157,500",20140502-0037357,No,GENERAL SERVICES DISTRICT,110  VINE LN,GOODLETTSVILLE,110  VINE LN,GOODLETTSVILLE,HOME,100K-199K,2014
15542,012 03 0 012.00,SINGLE FAMILY,05/14/2014,"205,900",20140529-0045974,No,GENERAL SERVICES DISTRICT,600  SUNNYSLOPE CT,GOODLETTSVILLE,600  SUNNYSLOPE CT,GOODLETTSVILLE,HOME,200K-299K,2014
15543,025 16 0 080.00,SINGLE FAMILY,05/23/2014,"185,000",20140602-0047292,No,CITY OF GOODLETTSVILLE,299  DRAPER CIR,GOODLETTSVILLE,299  DRAPER CIR,GOODLETTSVILLE,HOME,100K-199K,2014
15544,032 09 0 057.00,SINGLE FAMILY,05/12/2014,"144,000",20140513-0041007,No,GENERAL SERVICES DISTRICT,4405  SUMMERTIME DR,NASHVILLE,4405  SUMMERTIME DR,NASHVILLE,HOME,100K-199K,2014
15545,032 13 0 067.00,SINGLE FAMILY,05/06/2014,"98,000",20140523-0044636,No,GENERAL SERVICES DISTRICT,1717  AUTUMN RIDGE DR,NASHVILLE,1717  AUTUMN RIDGE DR,NASHVILLE,HOME,Below 100K,2014
15546,033 02 0 014.00,VACANT RESIDENTIAL LAND,05/09/2014,"3,000",20140516-0042382,Yes,GENERAL SERVICES DISTRICT,0  GENELLE DR,GOODLETTSVILLE,0  GENELLE DR,GOODLETTSVILLE,LAND,Below 100K,2014
15559,026 06 0 086.00,SINGLE FAMILY,05/15/2014,"165,000",20140529-0046269,No,CITY OF GOODLETTSVILLE,110  OXFORD CT,GOODLETTSVILLE,110  OXFORD CT,GOODLETTSVILLE,HOME,100K-199K,2014
15560,026 07 0 067.00,SINGLE FAMILY,05/21/2014,"123,900",20140522-0044220,No,CITY OF GOODLETTSVILLE,105  HEATHCOTE CT,GOODLETTSVILLE,105  HEATHCOTE CT,GOODLETTSVILLE,HOME,100K-199K,2014
15561,026 07 0 096.00,SINGLE FAMILY,05/09/2014,"156,500",20140516-0042311,No,CITY OF GOODLETTSVILLE,120  CORBRIDGE CT,GOODLETTSVILLE,120  CORBRIDGE CT,GOODLETTSVILLE,HOME,100K-199K,2014
15562,026 07 0 097.00,SINGLE FAMILY,05/02/2014,"158,000",20140506-0038541,No,CITY OF GOODLETTSVILLE,118  CORBRIDGE CT,GOODLETTSVILLE,118  CORBRIDGE CT,GOODLETTSVILLE,HOME,100K-199K,2014
15563,026 16 0 055.00,SINGLE FAMILY,05/09/2014,"250,000",20140513-0040984,No,GENERAL SERVICES DISTRICT,2317  SPRING BRANCH DR,MADISON,2317  SPRING BRANCH DR,MADISON,HOME,200K-299K,2014
16302,188 00 0 008.00,VACANT RESIDENTIAL LAND,06/25/2014,"3,235,790",20140625-0055448,No,GENERAL SERVICES DISTRICT,7211  CAROTHERS RD,NOLENSVILLE,7211  CAROTHERS RD,NOLENSVILLE,LAND,600K+,2014
16918,007 00 0 130.00,SINGLE FAMILY,06/10/2014,"366,000",20140619-0053768,No,GENERAL SERVICES DISTRICT,1832  FOX CHASE DR,GOODLETTSVILLE,1832  FOX CHASE DR,GOODLETTSVILLE,HOME,300K-399K,2014
16919,007 15 0 003.00,SINGLE FAMILY,06/30/2014,"157,500",20140702-0058050,No,GENERAL SERVICES DISTRICT,633  GAYLEMORE DR,GOODLETTSVILLE,633  GAYLEMORE DR,GOODLETTSVILLE,HOME,100K-199K,2014
16920,007 15 0 004.00,SINGLE FAMILY,06/30/2014,"247,400",20140630-0057267,No,GENERAL SERVICES DISTRICT,637  GAYLEMORE DR,GOODLETTSVILLE,637  GAYLEMORE DR,GOODLETTSVILLE,HOME,200K-299K,2014
16921,018 00 0 164.00,SINGLE FAMILY,06/24/2014,"219,900",20140625-0055427,No,CITY OF GOODLETTSVILLE,332  MONCRIEF AVE,GOODLETTSVILLE,332  MONCRIEF AVE,GOODLETTSVILLE,HOME,200K-299K,2014
16922,018 07 0 013.00,SINGLE FAMILY,06/24/2014,"129,500",20140627-0056397,No,CITY OF GOODLETTSVILLE,203  ISAAC DR,GOODLETTSVILLE,203  ISAAC DR,GOODLETTSVILLE,HOME,100K-199K,2014
16923,018 07 0 030.00,SINGLE FAMILY,06/30/2014,"139,050",20140702-0058174,No,CITY OF GOODLETTSVILLE,110  UTLEY DR,GOODLETTSVILLE,110  UTLEY DR,GOODLETTSVILLE,HOME,100K-199K,2014
16924,025 07 0 012.00,SINGLE FAMILY,06/20/2014,"167,000",20140624-0055290,No,CITY OF GOODLETTSVILLE,313  ROSEHILL DR,GOODLETTSVILLE,313  ROSEHILL DR,GOODLETTSVILLE,HOME,100K-199K,2014
16925,025 07 0 034.00,SINGLE FAMILY,06/30/2014,"261,000",20140709-0060320,No,CITY OF GOODLETTSVILLE,402  ROSEHILL CT,GOODLETTSVILLE,402  ROSEHILL CT,GOODLETTSVILLE,HOME,200K-299K,2014
16926,025 12 0 086.00,SINGLE FAMILY,06/05/2014,"176,811",20140611-0050942,No,CITY OF GOODLETTSVILLE,103  CONNOR DR,GOODLETTSVILLE,103  CONNOR DR,GOODLETTSVILLE,HOME,100K-199K,2014
16927,032 09 0 112.00,SINGLE FAMILY,06/19/2014,"208,500",20140623-0054296,No,GENERAL SERVICES DISTRICT,4728  INDIAN SUMMER DR,NASHVILLE,4728  INDIAN SUMMER DR,NASHVILLE,HOME,200K-299K,2014
16928,032 09 0B 031.00,SINGLE FAMILY,06/30/2014,"296,500",20140708-0060150,No,GENERAL SERVICES DISTRICT,200  INDIAN SUMMER CT,NASHVILLE,200  INDIAN SUMMER CT,NASHVILLE,HOME,200K-299K,2014
16942,026 02 0 023.00,SINGLE FAMILY,06/27/2014,"164,900",20140703-0058681,No,CITY OF GOODLETTSVILLE,201  ASHTEAD CT,GOODLETTSVILLE,201  ASHTEAD CT,GOODLETTSVILLE,HOME,100K-199K,2014
16943,026 06 0 028.00,SINGLE FAMILY,06/27/2014,"110,000",20140630-0056939,No,CITY OF GOODLETTSVILLE,128  BROCKHAMPTON CT,GOODLETTSVILLE,128  BROCKHAMPTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
16944,026 06 0 040.00,SINGLE FAMILY,06/06/2014,"117,000",20140611-0050592,No,CITY OF GOODLETTSVILLE,105  BROCKHAMPTON CT,GOODLETTSVILLE,105  BROCKHAMPTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
16945,026 06 0 043.00,SINGLE FAMILY,06/30/2014,"149,900",20140710-0060654,No,CITY OF GOODLETTSVILLE,115  DORCHESTER CT,GOODLETTSVILLE,115  DORCHESTER CT,GOODLETTSVILLE,HOME,100K-199K,2014
16946,026 06 0 044.00,SINGLE FAMILY,06/27/2014,"129,900",20140711-0061022,No,CITY OF GOODLETTSVILLE,112  DORCHESTER CT,GOODLETTSVILLE,112  DORCHESTER CT,GOODLETTSVILLE,HOME,100K-199K,2014
16947,026 06 0 050.00,SINGLE FAMILY,06/13/2014,"117,000",20140620-0053993,No,CITY OF GOODLETTSVILLE,101  DORCHESTER CT,GOODLETTSVILLE,101  DORCHESTER CT,GOODLETTSVILLE,HOME,100K-199K,2014
16948,026 06 0A 062.00,RESIDENTIAL CONDO,06/27/2014,"141,000",20140701-0057770,No,GENERAL SERVICES DISTRICT,137  CANTON CT,GOODLETTSVILLE,137  CANTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
16949,026 07 0 192.00,SINGLE FAMILY,06/18/2014,"108,000",20140620-0054140,No,CITY OF GOODLETTSVILLE,101  LIDGATE TER,GOODLETTSVILLE,101  LIDGATE TER,GOODLETTSVILLE,HOME,100K-199K,2014
18367,007 00 0 151.00,SINGLE FAMILY,07/16/2014,"267,000",20140718-0063802,No,GENERAL SERVICES DISTRICT,1821  FOX CHASE DR,GOODLETTSVILLE,1821  FOX CHASE DR,GOODLETTSVILLE,HOME,200K-299K,2014
18368,018 07 0 014.00,SINGLE FAMILY,07/03/2014,"158,000",20140708-0059798,No,CITY OF GOODLETTSVILLE,208  UTLEY DR,GOODLETTSVILLE,208  UTLEY DR,GOODLETTSVILLE,HOME,100K-199K,2014
18369,018 07 0 090.00,SINGLE FAMILY,07/31/2014,"175,000",20140806-0070919,No,CITY OF GOODLETTSVILLE,502  MYSTIC HILL DR,GOODLETTSVILLE,502  MYSTIC HILL DR,GOODLETTSVILLE,HOME,100K-199K,2014
18370,018 12 0 009.00,SINGLE FAMILY,07/30/2014,"155,000",20140731-0068478,No,CITY OF GOODLETTSVILLE,232  SWIFT DR,GOODLETTSVILLE,232  SWIFT DR,GOODLETTSVILLE,HOME,100K-199K,2014
18371,019 13 0 037.00,SINGLE FAMILY,07/30/2014,"114,000",20140801-0068977,No,CITY OF GOODLETTSVILLE,119  MYERS ST,GOODLETTSVILLE,119  MYERS ST,GOODLETTSVILLE,HOME,100K-199K,2014
18372,025 14 0 001.00,SINGLE FAMILY,07/02/2014,"163,500",20140709-0060344,No,CITY OF GOODLETTSVILLE,100  HASTY DR,GOODLETTSVILLE,100  HASTY DR,GOODLETTSVILLE,HOME,100K-199K,2014
18373,026 09 0 021.00,SINGLE FAMILY,07/31/2014,"198,900",20140820-0075601,No,CITY OF GOODLETTSVILLE,516  DONALD AVE,GOODLETTSVILLE,516  DONALD AVE,GOODLETTSVILLE,HOME,100K-199K,2014
18387,026 03 0 009.00,SINGLE FAMILY,07/29/2014,"154,000",20140731-0068358,No,CITY OF GOODLETTSVILLE,325  WITHAM CT,GOODLETTSVILLE,325  WITHAM CT,GOODLETTSVILLE,HOME,100K-199K,2014
18388,026 07 0 012.00,ZERO LOT LINE,07/30/2014,"124,900",20140801-0068896,No,CITY OF GOODLETTSVILLE,118  CHAMPNEY CT,GOODLETTSVILLE,118  CHAMPNEY CT,GOODLETTSVILLE,HOME,100K-199K,2014
18389,026 07 0 191.00,SINGLE FAMILY,07/03/2014,"160,000",20140708-0060091,No,CITY OF GOODLETTSVILLE,207  ASHTEAD CT,GOODLETTSVILLE,207  ASHTEAD CT,GOODLETTSVILLE,HOME,100K-199K,2014
18390,026 16 0 025.00,SINGLE FAMILY,07/15/2014,"230,000",20140717-0063482,No,GENERAL SERVICES DISTRICT,219  CUMBERLAND HILLS DR,MADISON,219  CUMBERLAND HILLS DR,MADISON,HOME,200K-299K,2014
19281,188 10 0A 040.00,SINGLE FAMILY,08/26/2014,"167,000",20140828-0078666,No,GENERAL SERVICES DISTRICT,1844  GRACE POINT LN,NOLENSVILLE,1844  GRACE POINT LN,NOLENSVILLE,HOME,100K-199K,2014
19282,188 10 0A 054.00,SINGLE FAMILY,08/29/2014,"176,900",20140905-0081414,No,GENERAL SERVICES DISTRICT,2025  OAK TRAIL DR,NOLENSVILLE,2025  OAK TRAIL DR,NOLENSVILLE,HOME,100K-199K,2014
19804,007 14 0 002.00,SINGLE FAMILY,08/28/2014,"171,000",20140903-0080214,No,GENERAL SERVICES DISTRICT,2005  SADIE LN,GOODLETTSVILLE,2005  SADIE LN,GOODLETTSVILLE,HOME,100K-199K,2014
19805,007 14 0 034.00,SINGLE FAMILY,08/29/2014,"340,000",20140909-0082348,No,GENERAL SERVICES DISTRICT,1420  SPRINGFIELD HWY,GOODLETTSVILLE,1420  SPRINGFIELD HWY,GOODLETTSVILLE,HOME,300K-399K,2014
19806,012 00 0 083.00,SINGLE FAMILY,08/01/2014,"235,000",20140808-0071505,No,GENERAL SERVICES DISTRICT,8158  OLD SPRINGFIELD PIKE,GOODLETTSVILLE,8158  OLD SPRINGFIELD PIKE,GOODLETTSVILLE,HOME,200K-299K,2014
19807,022 02 0 014.00,SINGLE FAMILY,08/11/2014,"125,000",20140815-0074111,No,GENERAL SERVICES DISTRICT,7507  GARY RD,JOELTON,7507  GARY RD,JOELTON,HOME,100K-199K,2014
19808,025 12 0 013.00,SINGLE FAMILY,08/19/2014,"148,000",20140821-0076199,No,CITY OF GOODLETTSVILLE,725  DICKERSON PIKE,GOODLETTSVILLE,725  DICKERSON PIKE,GOODLETTSVILLE,HOME,100K-199K,2014
19809,025 12 0 071.00,SINGLE FAMILY,08/01/2014,"177,000",20140805-0070313,No,CITY OF GOODLETTSVILLE,102  ROANOKE DR,GOODLETTSVILLE,102  ROANOKE DR,GOODLETTSVILLE,HOME,100K-199K,2014
19810,026 05 0 023.00,SINGLE FAMILY,08/26/2014,"167,000",20140827-0077918,No,CITY OF GOODLETTSVILLE,302  ROSCOE ST,GOODLETTSVILLE,302  ROSCOE ST,GOODLETTSVILLE,HOME,100K-199K,2014
19811,026 09 0 061.00,SINGLE FAMILY,08/27/2014,"145,900",20140828-0078685,No,CITY OF GOODLETTSVILLE,403  MOSS TRL,GOODLETTSVILLE,403  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2014
19812,032 09 0 100.00,SINGLE FAMILY,08/12/2014,"159,500",20140814-0073440,No,GENERAL SERVICES DISTRICT,2177  QUAIL RIDGE DR,NASHVILLE,2177  QUAIL RIDGE DR,NASHVILLE,HOME,100K-199K,2014
19813,033 00 0 188.00,SINGLE FAMILY,08/29/2014,"118,000",20140904-0081015,No,GENERAL SERVICES DISTRICT,505  AGEE RD,GOODLETTSVILLE,505  AGEE RD,GOODLETTSVILLE,HOME,100K-199K,2014
19814,033 01 0 008.00,VACANT RESIDENTIAL LAND,08/28/2014,"180,000",20140829-0079387,Yes,GENERAL SERVICES DISTRICT,951  CARLIN ST,GOODLETTSVILLE,951  CARLIN ST,GOODLETTSVILLE,LAND,100K-199K,2014
19827,026 06 0 062.00,ZERO LOT LINE,08/15/2014,"124,500",20140822-0076767,No,CITY OF GOODLETTSVILLE,114  CHESHIRE CT,GOODLETTSVILLE,114  CHESHIRE CT,GOODLETTSVILLE,HOME,100K-199K,2014
19828,026 06 0A 038.00,RESIDENTIAL CONDO,08/21/2014,"127,000",20140825-0077233,No,GENERAL SERVICES DISTRICT,109  CANTON CT,GOODLETTSVILLE,109  CANTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
19829,026 06 0A 061.00,RESIDENTIAL CONDO,08/29/2014,"165,000",20140904-0080852,No,GENERAL SERVICES DISTRICT,135  CANTON CT,GOODLETTSVILLE,135  CANTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
19830,033 00 0 124.02,VACANT RESIDENTIAL LAND,08/21/2014,"100,000",20141020-0096578,Yes,GENERAL SERVICES DISTRICT,0  OAKLYNN DR,MADISON,0  OAKLYNN DR,MADISON,LAND,100K-199K,2014
21298,016 00 0 110.00,SINGLE FAMILY,09/24/2014,"290,000",20141009-0093665,No,GENERAL SERVICES DISTRICT,7221  APPLE VIEW DR,GOODLETTSVILLE,7221  APPLE VIEW DR,GOODLETTSVILLE,HOME,200K-299K,2014
21299,018 00 0 041.00,SINGLE FAMILY,09/02/2014,"147,000",20140908-0081941,No,CITY OF GOODLETTSVILLE,334  MONCRIEF AVE,GOODLETTSVILLE,334  MONCRIEF AVE,GOODLETTSVILLE,HOME,100K-199K,2014
21300,025 16 0 034.00,SINGLE FAMILY,09/30/2014,"220,000",20141002-0091221,No,CITY OF GOODLETTSVILLE,121  GARRETT DR,GOODLETTSVILLE,121  GARRETT DR,GOODLETTSVILLE,HOME,200K-299K,2014
21301,026 05 0 098.00,SINGLE FAMILY,09/05/2014,"118,900",20140930-0090023,No,CITY OF GOODLETTSVILLE,201  HOLLYWOOD ST,GOODLETTSVILLE,201  HOLLYWOOD ST,GOODLETTSVILLE,HOME,100K-199K,2014
21302,026 09 0 020.00,SINGLE FAMILY,09/30/2014,"214,900",20141002-0090869,No,CITY OF GOODLETTSVILLE,518  DONALD AVE,GOODLETTSVILLE,518  DONALD AVE,GOODLETTSVILLE,HOME,200K-299K,2014
21303,026 09 0 048.00,SINGLE FAMILY,09/18/2014,"105,000",20140925-0088169,No,CITY OF GOODLETTSVILLE,438  MOSS TRL,GOODLETTSVILLE,438  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2014
21304,026 09 0 056.00,SINGLE FAMILY,09/05/2014,"146,000",20140909-0082328,No,CITY OF GOODLETTSVILLE,408  MOSS TRL,GOODLETTSVILLE,408  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2014
21305,032 09 0 114.00,SINGLE FAMILY,09/26/2014,"195,000",20140929-0089542,No,GENERAL SERVICES DISTRICT,4720  INDIAN SUMMER DR,NASHVILLE,4720  INDIAN SUMMER DR,NASHVILLE,HOME,100K-199K,2014
21306,032 13 0 001.00,SINGLE FAMILY,09/26/2014,"69,000",20140930-0089966,No,GENERAL SERVICES DISTRICT,4212  BRICK CHURCH PIKE,WHITES CREEK,4212  BRICK CHURCH PIKE,WHITES CREEK,HOME,Below 100K,2014
21307,033 03 0 007.00,SINGLE FAMILY,09/26/2014,"90,000",20140930-0090328,No,CITY OF GOODLETTSVILLE,199  DRY CREEK RD,GOODLETTSVILLE,199  DRY CREEK RD,GOODLETTSVILLE,HOME,Below 100K,2014
21308,033 03 0B 054.00,SINGLE FAMILY,09/29/2014,"197,500",20141007-0092813,No,GENERAL SERVICES DISTRICT,102  TRAILING BLOSSOM LN,GOODLETTSVILLE,102  TRAILING BLOSSOM LN,GOODLETTSVILLE,HOME,100K-199K,2014
22714,007 00 0 149.00,SINGLE FAMILY,10/10/2014,"278,000",20141015-0095255,No,GENERAL SERVICES DISTRICT,1829  FOX CHASE DR,GOODLETTSVILLE,1829  FOX CHASE DR,GOODLETTSVILLE,HOME,200K-299K,2014
22715,018 07 0 062.00,VACANT RESIDENTIAL LAND,10/14/2014,"25,000",20141015-0095213,No,CITY OF GOODLETTSVILLE,507  MATHES CT,GOODLETTSVILLE,507  MATHES CT,GOODLETTSVILLE,LAND,Below 100K,2014
22716,018 07 0 142.00,SINGLE FAMILY,10/24/2014,"229,900",20141027-0098944,No,CITY OF GOODLETTSVILLE,301  MYSTIC HILL DR,GOODLETTSVILLE,301  MYSTIC HILL DR,GOODLETTSVILLE,HOME,200K-299K,2014
22717,018 12 0 014.00,SINGLE FAMILY,10/24/2014,"130,000",20141028-0099422,No,CITY OF GOODLETTSVILLE,205  FANNIN DR,GOODLETTSVILLE,205  FANNIN DR,GOODLETTSVILLE,HOME,100K-199K,2014
22718,025 04 0 051.00,SINGLE FAMILY,10/21/2014,"165,000",20141023-0097861,No,CITY OF GOODLETTSVILLE,231  MCCOIN DR,GOODLETTSVILLE,231  MCCOIN DR,GOODLETTSVILLE,HOME,100K-199K,2014
22719,025 11 0 005.00,SINGLE FAMILY,10/17/2014,"230,000",20141021-0096843,No,CITY OF GOODLETTSVILLE,420  ROSEHILL DR,GOODLETTSVILLE,420  ROSEHILL DR,GOODLETTSVILLE,HOME,200K-299K,2014
22720,025 15 0 006.00,SINGLE FAMILY,10/03/2014,"220,000",20141020-0096713,No,CITY OF GOODLETTSVILLE,1275  HITT LN,GOODLETTSVILLE,1275  HITT LN,GOODLETTSVILLE,HOME,200K-299K,2014
22721,026 01 0 069.00,VACANT RESIDENTIAL LAND,10/27/2014,"59,800",20141031-0100471,Yes,CITY OF GOODLETTSVILLE,141  TWO MILE PIKE,GOODLETTSVILLE,141  TWO MILE PIKE,GOODLETTSVILLE,LAND,Below 100K,2014
22722,026 01 0 153.00,SINGLE FAMILY,10/27/2014,"59,800",20141031-0100471,Yes,CITY OF GOODLETTSVILLE,143  TWO MILE PIKE,GOODLETTSVILLE,143  TWO MILE PIKE,GOODLETTSVILLE,HOME,Below 100K,2014
22723,026 05 0 053.00,SINGLE FAMILY,10/30/2014,"140,000",20141121-0107203,No,CITY OF GOODLETTSVILLE,205  ROSCOE ST,GOODLETTSVILLE,205  ROSCOE ST,GOODLETTSVILLE,HOME,100K-199K,2014
22724,026 09 0 035.00,SINGLE FAMILY,10/03/2014,"124,800",20141010-0093992,No,CITY OF GOODLETTSVILLE,221  CIMA DR,GOODLETTSVILLE,221  CIMA DR,GOODLETTSVILLE,HOME,100K-199K,2014
22725,033 03 0B 052.00,SINGLE FAMILY,10/21/2014,"165,000",20141103-0101012,No,GENERAL SERVICES DISTRICT,112  IVY HILL LN,GOODLETTSVILLE,112  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2014
22726,033 03 0B 059.00,SINGLE FAMILY,10/27/2014,"195,000",20141031-0100693,No,GENERAL SERVICES DISTRICT,112  TRAILING BLOSSOM LN,GOODLETTSVILLE,112  TRAILING BLOSSOM LN,GOODLETTSVILLE,HOME,100K-199K,2014
22727,033 03 0B 066.00,SINGLE FAMILY,10/30/2014,"141,000",20141103-0101021,No,GENERAL SERVICES DISTRICT,182  IVY HILL LN,GOODLETTSVILLE,182  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2014
22728,033 03 0B 139.00,SINGLE FAMILY,10/31/2014,"179,200",20141103-0101162,No,GENERAL SERVICES DISTRICT,117  IVY HILL LN,GOODLETTSVILLE,117  IVY HILL LN,GOODLETTSVILLE,HOME,100K-199K,2014
23912,025 00 0 086.00,SINGLE FAMILY,11/05/2014,"143,900",20141107-0103047,No,CITY OF GOODLETTSVILLE,1128  HITT LN,GOODLETTSVILLE,1128  HITT LN,GOODLETTSVILLE,HOME,100K-199K,2014
23913,025 12 0 062.00,SINGLE FAMILY,11/12/2014,"117,000",20141114-0105085,No,CITY OF GOODLETTSVILLE,304  MOSS TRL,GOODLETTSVILLE,304  MOSS TRL,GOODLETTSVILLE,HOME,100K-199K,2014
23914,026 01 0 050.00,VACANT RESIDENTIAL LAND,11/12/2014,"24,900",20141114-0105388,No,CITY OF GOODLETTSVILLE,130  EAST AVE,GOODLETTSVILLE,130  EAST AVE,GOODLETTSVILLE,LAND,Below 100K,2014
23925,026 06 0 042.00,SINGLE FAMILY,11/14/2014,"149,900",20141118-0106312,No,CITY OF GOODLETTSVILLE,101  BROCKHAMPTON CT,GOODLETTSVILLE,101  BROCKHAMPTON CT,GOODLETTSVILLE,HOME,100K-199K,2014
25014,018 07 0 150.00,SINGLE FAMILY,12/18/2014,"158,500",20150109-0002500,No,CITY OF GOODLETTSVILLE,316  MYSTIC HILL DR,GOODLETTSVILLE,316  MYSTIC HILL DR,GOODLETTSVILLE,HOME,100K-199K,2014
25015,018 07 0 160.00,SINGLE FAMILY,12/12/2014,"128,000",20141216-0114858,No,CITY OF GOODLETTSVILLE,402  CARLTON PL,GOODLETTSVILLE,402  CARLTON PL,GOODLETTSVILLE,HOME,100K-199K,2014
